# Time-averaged data for fix f6
# TimeStep c_Mnmsd[1] c_Mnmsd[2] c_Mnmsd[3] c_Mnmsd[4]
42500 0.0132061 0.0129715 0.0141113 0.0402888
42505 0.0132825 0.0131432 0.013919 0.0403448
42510 0.013344 0.0132629 0.0136552 0.0402621
42515 0.0133914 0.0133261 0.0133308 0.0400483
42520 0.0134305 0.0133345 0.0129644 0.0397293
42525 0.0134719 0.0132942 0.0125808 0.0393469
42530 0.0135302 0.0132141 0.0122095 0.0389538
42535 0.0136216 0.0131042 0.0118814 0.0386072
42540 0.0137614 0.0129741 0.0116242 0.0383597
42545 0.0139605 0.0128316 0.011458 0.03825
42550 0.0142233 0.0126821 0.0113907 0.0382961
42555 0.0145459 0.0125283 0.0114166 0.0384909
42560 0.0149169 0.01237 0.011517 0.0388039
42565 0.0153183 0.0122047 0.0116629 0.039186
42570 0.0157285 0.0120287 0.0118207 0.039578
42575 0.0161247 0.0118378 0.0119582 0.0399207
42580 0.0164852 0.011629 0.0120512 0.0401654
42585 0.0167918 0.0114018 0.0120884 0.040282
42590 0.0170316 0.0111593 0.012074 0.0402649
42595 0.0171982 0.0109091 0.0120267 0.040134
42600 0.0172926 0.0106632 0.0119765 0.0399324
42605 0.0173239 0.0104391 0.0119582 0.0397212
42610 0.0173078 0.0102583 0.0120051 0.0395713
42615 0.0172649 0.0101454 0.0121416 0.0395519
42620 0.0172168 0.0101242 0.0123789 0.0397198
42625 0.0171834 0.0102143 0.0127118 0.0401095
42630 0.0171795 0.0104277 0.0131197 0.0407269
42635 0.0172127 0.0107656 0.0135684 0.0415467
42640 0.0172823 0.0112163 0.0140149 0.0425135
42645 0.0173793 0.0117541 0.0144134 0.0435468
42650 0.0174873 0.0123402 0.0147218 0.0445493
42655 0.0175852 0.0129254 0.0149082 0.0454187
42660 0.0176495 0.0134549 0.0149554 0.0460598
42665 0.017659 0.0138755 0.0148634 0.046398
42670 0.0175987 0.0141427 0.0146484 0.0463898
42675 0.0174634 0.0142267 0.01434 0.04603
42680 0.0172597 0.0141173 0.0139768 0.0453537
42685 0.0170056 0.0138249 0.013601 0.0444314
42690 0.0167284 0.013379 0.0132528 0.0433602
42695 0.0164602 0.0128242 0.0129665 0.0422509
42700 0.0162331 0.0122146 0.012767 0.0412146
42705 0.0160735 0.0116071 0.0126677 0.0403483
42710 0.0159982 0.0110554 0.0126704 0.0397241
42715 0.0160113 0.0106045 0.0127658 0.0393817
42720 0.0161039 0.0102868 0.0129351 0.0393258
