# LAMMPS data file written by OVITO Basic 3.8.4

5888 atoms 
1000 bonds
4 atom types 
1 bond types

0.0 39.0999984741 xlo xhi
0.0 39.0999984741 ylo yhi
0.0 39.0999984741 zlo zhi

Masses

1 6.941  # Li
2 15.7994 # O, core  of type 2 
3 35.453  # Cl
4  0.2000 # O, shell of type 2 
 
Atoms  # full

426 1 1  0.0 17.594999 15.640000 23.460000       
427 1 1  0.0 17.594999 35.189998 3.910000       
428 1 1  0.0 17.594999 35.189998 23.460000       
429 1 1  0.0 37.144996 15.640000 3.910000       
430 1 1  0.0 37.144996 15.640000 23.460000       
431 1 1  0.0 37.144996 35.189998 3.910000       
432 1 1  0.0 37.144996 35.189998 23.460000       
433 1 1  0.0 1.955000 3.910000 15.640000       
434 1 1  0.0 1.955000 3.910000 35.189998       
435 1 1  0.0 1.955000 23.460000 15.640000       
436 1 1  0.0 1.955000 23.460000 35.189998       
437 1 1  0.0 21.505000 3.910000 15.640000       
438 1 1  0.0 21.505000 3.910000 35.189998       
439 1 1  0.0 21.505000 23.460000 15.640000       
440 1 1  0.0 21.505000 23.460000 35.189998       
441 1 1  0.0 17.594999 3.910000 15.640000       
442 1 1  0.0 17.594999 3.910000 35.189998       
443 1 1  0.0 17.594999 23.460000 15.640000       
444 1 1  0.0 17.594999 23.460000 35.189998       
445 1 1  0.0 37.144996 3.910000 15.640000       
446 1 1  0.0 37.144996 3.910000 35.189998       
447 1 1  0.0 37.144996 23.460000 15.640000       
448 1 1  0.0 37.144996 23.460000 35.189998       
449 1 1  0.0 1.955000 15.640000 3.910000       
450 1 1  0.0 1.955000 15.640000 23.460000       
451 1 1  0.0 1.955000 35.189998 3.910000       
452 1 1  0.0 1.955000 35.189998 23.460000       
453 1 1  0.0 21.505000 15.640000 3.910000       
454 1 1  0.0 21.505000 15.640000 23.460000       
455 1 1  0.0 21.505000 35.189998 3.910000       
456 1 1  0.0 21.505000 35.189998 23.460000       
457 1 1  0.0 1.955000 15.640000 15.640000       
458 1 1  0.0 1.955000 15.640000 35.189998       
459 1 1  0.0 1.955000 35.189998 15.640000       
460 1 1  0.0 1.955000 35.189998 35.189998       
461 1 1  0.0 21.505000 15.640000 15.640000       
462 1 1  0.0 21.505000 15.640000 35.189998       
463 1 1  0.0 21.505000 35.189998 15.640000       
464 1 1  0.0 21.505000 35.189998 35.189998       
465 1 1  0.0 17.594999 3.910000 3.910000       
466 1 1  0.0 17.594999 3.910000 23.460000       
467 1 1  0.0 17.594999 23.460000 3.910000       
468 1 1  0.0 17.594999 23.460000 23.460000       
469 1 1  0.0 37.144996 3.910000 3.910000       
470 1 1  0.0 37.144996 3.910000 23.460000       
471 1 1  0.0 37.144996 23.460000 3.910000       
472 1 1  0.0 37.144996 23.460000 23.460000       
473 1 1  0.0 3.910000 1.955000 3.910000       
474 1 1  0.0 3.910000 1.955000 23.460000       
475 1 1  0.0 3.910000 21.505000 3.910000       
476 1 1  0.0 3.910000 21.505000 23.460000       
477 1 1  0.0 23.460000 1.955000 3.910000       
478 1 1  0.0 23.460000 1.955000 23.460000       
479 1 1  0.0 23.460000 21.505000 3.910000       
480 1 1  0.0 23.460000 21.505000 23.460000       
481 1 1  0.0 15.640000 17.594999 15.640000       
482 1 1  0.0 15.640000 17.594999 35.189998       
483 1 1  0.0 15.640000 37.144996 15.640000       
484 1 1  0.0 15.640000 37.144996 35.189998       
485 1 1  0.0 35.189998 17.594999 15.640000       
486 1 1  0.0 35.189998 17.594999 35.189998       
487 1 1  0.0 35.189998 37.144996 15.640000       
488 1 1  0.0 35.189998 37.144996 35.189998       
489 1 1  0.0 3.910000 17.594999 15.640000       
490 1 1  0.0 3.910000 17.594999 35.189998       
491 1 1  0.0 3.910000 37.144996 15.640000       
492 1 1  0.0 3.910000 37.144996 35.189998       
493 1 1  0.0 23.460000 17.594999 15.640000       
494 1 1  0.0 23.460000 17.594999 35.189998       
495 1 1  0.0 23.460000 37.144996 15.640000       
496 1 1  0.0 23.460000 37.144996 35.189998       
497 1 1  0.0 15.640000 1.955000 3.910000       
498 1 1  0.0 15.640000 1.955000 23.460000       
499 1 1  0.0 15.640000 21.505000 3.910000       
500 1 1  0.0 15.640000 21.505000 23.460000       
501 1 1  0.0 35.189998 1.955000 3.910000       
502 1 1  0.0 35.189998 1.955000 23.460000       
503 1 1  0.0 35.189998 21.505000 3.910000       
504 1 1  0.0 35.189998 21.505000 23.460000       
505 1 1  0.0 15.640000 17.594999 3.910000       
506 1 1  0.0 15.640000 17.594999 23.460000       
507 1 1  0.0 15.640000 37.144996 3.910000       
508 1 1  0.0 15.640000 37.144996 23.460000       
509 1 1  0.0 35.189998 17.594999 3.910000       
510 1 1  0.0 35.189998 17.594999 23.460000       
511 1 1  0.0 35.189998 37.144996 3.910000       
