# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 6000
  10 0.475 302 2304.93
  11 0.525 293.5 2293.39
  12 0.575 301.3 2311.57
  13 0.625 297.9 2278.68
  14 0.675 293 2144.48
  15 0.725 308.9 2039.67
  16 0.775 293.5 1899.68
  17 0.825 295.2 1949.84
  18 0.875 298.1 1820.91
  19 0.925 300.7 1691.73
  20 0.975 300.5 1630.43
33600 20 6000
  1 0.025 307.2 1640.88
  2 0.075 300.4 1741.65
  3 0.125 299.7 1728.13
  4 0.175 301.8 1801.36
  5 0.225 302.9 1951.04
  6 0.275 296 2001.36
  7 0.325 297.9 2014.13
  8 0.375 303.5 2112.96
  9 0.425 297.2 2055.09
  10 0.475 299.2 2361.77
  11 0.525 289.4 2398.82
  12 0.575 300.1 2348.18
  13 0.625 295.4 2207.66
  14 0.675 295.5 2230.82
  15 0.725 308.7 2206.24
  16 0.775 301 1921.46
  17 0.825 298 1878.22
  18 0.875 298 1778.66
  19 0.925 305.6 1758.62
  20 0.975 302.5 1642.89
34650 20 6000
  1 0.025 308.8 1621.01
  2 0.075 297.1 1641.17
  3 0.125 298.6 1727.31
  4 0.175 307.5 1875.23
  5 0.225 301.2 1945.52
  6 0.275 292.6 2007.91
  7 0.325 298 1988.4
  8 0.375 308.9 2012.01
  9 0.425 301.6 2130.68
  10 0.475 302.7 2388.9
  11 0.525 295.9 2448.78
  12 0.575 299.4 2245.28
  13 0.625 299.7 2244.52
  14 0.675 296.6 2155.79
  15 0.725 299.7 2091.67
  16 0.775 294 2011.61
  17 0.825 295.5 1856.62
  18 0.875 297.1 1793.99
  19 0.925 302.9 1774
  20 0.975 302.2 1626.83
35700 20 6000
  1 0.025 308.4 1629.11
  2 0.075 298.9 1668.06
  3 0.125 298.8 1709.9
  4 0.175 303.5 1831.44
  5 0.225 299.5 1992.6
  6 0.275 296.5 1931.27
  7 0.325 299.3 2094.63
  8 0.375 303.5 2111.82
  9 0.425 296.9 2216.42
  10 0.475 300.1 2285.35
  11 0.525 294.9 2360.04
  12 0.575 298.4 2326.65
  13 0.625 293.7 2230.19
  14 0.675 295 2231.9
  15 0.725 302 2067.17
  16 0.775 299 2065.3
  17 0.825 298.3 1869.82
  18 0.875 300.8 1806.66
  19 0.925 303.8 1772.71
  20 0.975 308.7 1662.55
36750 20 6000
  1 0.025 305.3 1625.52
  2 0.075 300.4 1680.51
  3 0.125 298.9 1794.98
  4 0.175 305 1801.93
  5 0.225 298.2 1876.52
  6 0.275 295.4 2035.48
  7 0.325 300.1 2077.37
  8 0.375 302.9 2064.18
  9 0.425 300.9 2129.82
  10 0.475 301.2 2343.18
  11 0.525 296.8 2364.74
  12 0.575 298 2253.08
  13 0.625 298.2 2245.07
  14 0.675 296.8 2220.16
  15 0.725 307.5 2024.66
  16 0.775 293.1 1964.99
  17 0.825 297.7 1827.24
  18 0.875 295.5 1890.81
  19 0.925 303.5 1737.15
  20 0.975 304.6 1654.07
37800 20 6000
  1 0.025 311.9 1592.17
  2 0.075 297.3 1760.73
  3 0.125 297.5 1813.62
  4 0.175 307.2 1799.51
  5 0.225 301.5 1969.95
  6 0.275 294.1 1998.63
  7 0.325 301.6 2011.25
  8 0.375 305.6 2140.29
  9 0.425 297.9 2202.44
  10 0.475 302.2 2258.86
  11 0.525 296.2 2296.13
  12 0.575 298.7 2330.95
  13 0.625 300.5 2225.19
  14 0.675 290.1 2046.24
  15 0.725 308.6 2040.42
  16 0.775 292.9 1975.91
  17 0.825 296.6 1833.21
  18 0.875 294.4 1845.42
  19 0.925 301.8 1804.82
  20 0.975 303.4 1660.17
38850 20 6000
  1 0.025 306.1 1713.88
  2 0.075 299.5 1676.64
  3 0.125 299 1760.66
  4 0.175 301.2 1876.5
  5 0.225 301.4 1973.74
  6 0.275 297.2 1885.7
  7 0.325 299 2039.88
  8 0.375 300 2085.21
  9 0.425 296.3 2248.62
  10 0.475 301.8 2314.59
  11 0.525 289.6 2434.69
  12 0.575 294.9 2333.85
  13 0.625 300.8 2223.95
  14 0.675 296.3 2136.21
  15 0.725 307.7 2017.79
  16 0.775 299.2 2004.26
  17 0.825 302.9 1873.45
  18 0.875 297.4 1845.49
  19 0.925 306 1761.41
  20 0.975 303.7 1670.23
39900 20 6000
  1 0.025 307.6 1592.96
  2 0.075 297.5 1717.92
  3 0.125 295.7 1806.66
  4 0.175 307.6 1905.7
  5 0.225 304 1893.68
  6 0.275 295.6 1926.12
  7 0.325 302.9 2077.29
  8 0.375 300 2190.4
  9 0.425 300.5 2150.54
  10 0.475 302.3 2293.04
  11 0.525 301.9 2536.9
  12 0.575 297.5 2325.21
  13 0.625 299.7 2255.68
  14 0.675 292.6 2109.36
  15 0.725 307.5 2001.7
  16 0.775 293.3 1910.47
  17 0.825 296.5 1867.41
  18 0.875 292.5 1836.41
  19 0.925 302.4 1726.71
  20 0.975 302.4 1556.28
40950 20 6000
  1 0.025 309.1 1629.43
  2 0.075 299.9 1652.15
  3 0.125 299 1730.08
  4 0.175 301.5 1841.02
  5 0.225 301.4 1948.86
  6 0.275 294.9 1947.26
  7 0.325 297.4 2045.96
  8 0.375 301.8 2193.39
  9 0.425 300 2193.63
  10 0.475 301 2202.67
  11 0.525 295.6 2427.65
