# Time-averaged data for fix f3
# TimeStep c_Nimsd[1] c_Nimsd[2] c_Nimsd[3] c_Nimsd[4]
42975 0.012879 0.0107734 0.0118904 0.0355427
42980 0.0126504 0.0106032 0.0118964 0.03515
42985 0.0124334 0.010436 0.0117923 0.0346617
42990 0.0122564 0.0102844 0.0115901 0.0341309
42995 0.0121387 0.0101618 0.0113101 0.0336106
43000 0.0120872 0.0100789 0.0109781 0.0331442
43005 0.0120952 0.010041 0.0106242 0.0327604
43010 0.012144 0.0100475 0.0102807 0.0324722
43015 0.0122081 0.0100923 0.00998038 0.0322807
43020 0.012262 0.0101659 0.00975377 0.0321817
43025 0.0122879 0.0102562 0.00962576 0.0321698
43030 0.0122797 0.0103499 0.00961212 0.0322417
43035 0.0122445 0.0104336 0.00971691 0.032395
43040 0.0121988 0.0104958 0.00993152 0.0326261
43045 0.0121629 0.010529 0.0102357 0.0329276
43050 0.0121555 0.0105324 0.0106005 0.0332884
43055 0.0121905 0.0105128 0.0109935 0.0336968
43060 0.012276 0.0104856 0.0113836 0.0341453
43065 0.0124164 0.0104718 0.0117454 0.0346336
43070 0.0126137 0.010495 0.0120607 0.0351694
43075 0.012869 0.0105766 0.0123183 0.0357639
43080 0.0131824 0.0107301 0.0125121 0.0364247
43085 0.0135522 0.0109573 0.0126386 0.0371481
43090 0.0139728 0.0112465 0.0126938 0.037913
43095 0.0144329 0.0115734 0.0126724 0.0386787
43100 0.0149136 0.0119052 0.0125681 0.039387
43105 0.0153875 0.012206 0.0123759 0.0399695
43110 0.0158192 0.012443 0.0120955 0.0403576
43115 0.0161687 0.0125914 0.0117347 0.0404948
43120 0.0163976 0.0126378 0.0113122 0.0403475
43125 0.016476 0.0125806 0.0108573 0.0399139
43130 0.0163888 0.0124306 0.0104074 0.0392268
43135 0.0161379 0.0122085 0.0100019 0.0383483
43140 0.0157414 0.0119431 0.00967454 0.0373591
43145 0.0152286 0.0116682 0.00944585 0.0363426
43150 0.0146345 0.0114186 0.00931843 0.0353715
43155 0.0139953 0.011226 0.00927693 0.0344983
43160 0.0133449 0.0111148 0.00929255 0.0337522
43165 0.0127128 0.0110985 0.00933077 0.0331421
43170 0.0121244 0.011178 0.00935996 0.0326623
43175 0.0115998 0.0113419 0.00935843 0.0323001
43180 0.0111537 0.0115682 0.00931824 0.0320402
43185 0.010794 0.0118296 0.00924482 0.0318684
43190 0.0105208 0.0120975 0.00915303 0.0317714
43195 0.0103265 0.0123474 0.00906097 0.0317349
43200 0.0101967 0.0125611 0.00898376 0.0317416
43205 0.0101133 0.0127282 0.00892921 0.0317707
43210 0.0100576 0.0128458 0.00889701 0.0318004
43215 0.0100144 0.0129176 0.00888107 0.031813
43220 0.00997565 0.0129524 0.00887385 0.0318019
43225 0.0099422 0.0129627 0.00887053 0.0317755
43230 0.00992339 0.0129619 0.00887077 0.0317561
43235 0.00993353 0.0129606 0.00887678 0.0317709
43240 0.0099866 0.0129633 0.00888931 0.0318392
43245 0.0100908 0.012967 0.00890433 0.0319621
43250 0.010245 0.0129622 0.0089125 0.0321197
43255 0.0104379 0.012937 0.00890166 0.0322766
43260 0.0106506 0.0128817 0.00886165 0.0323939
43265 0.0108603 0.0127929 0.00878877 0.032442
43270 0.0110451 0.0126747 0.00868818 0.032408
43275 0.0111876 0.0125359 0.0085734 0.0322969
43280 0.0112774 0.0123852 0.00846352 0.0321261
43285 0.011312 0.0122261 0.00837908 0.0319172
43290 0.0112967 0.0120537 0.00833823 0.0316886
43295 0.0112431 0.0118553 0.00835426 0.0314527
43300 0.0111669 0.0116134 0.00843483 0.0312152
43305 0.0110851 0.0113115 0.00858259 0.0309792
43310 0.011012 0.01094 0.00879608 0.030748
43315 0.0109567 0.0105009 0.00907014 0.0305277
43320 0.0109206 0.01001 0.00939554 0.0303261
43325 0.0108969 0.00949642 0.00975818 0.0301515
43330 0.0108721 0.00899909 0.0101387 0.0300098
43335 0.0108291 0.00856216 0.010513 0.0299043
43340 0.0107519 0.00822892 0.0108542 0.029835
43345 0.0106296 0.00803594 0.0111354 0.029801
43350 0.0104611 0.00800818 0.0113326 0.0298019
43355 0.0102563 0.00815541 0.0114282 0.0298399
43360 0.0100357 0.00847041 0.0114139 0.02992
43365 0.00982726 0.008929 0.0112916 0.0300479
43370 0.00966148 0.00949225 0.0110731 0.0302268
43375 0.0095659 0.0101109 0.0107774 0.0304542
43380 0.00956053 0.0107314 0.0104272 0.0307192
43385 0.00965501 0.0113035 0.0100451 0.0310036
43390 0.00984802 0.0117869 0.00965158 0.0312865
43395 0.0101291 0.0121567 0.00926533 0.0315512
43400 0.010482 0.0124063 0.0089043 0.0317926
43405 0.0108877 0.0125468 0.00858772 0.0320223
43410 0.0113274 0.012603 0.00833663 0.032267
43415 0.0117845 0.0126072 0.00817243 0.0325642
43420 0.0122451 0.0125931 0.00811376 0.0329519
43425 0.0126984 0.0125884 0.00817211 0.0334589
43430 0.0131364 0.0126109 0.00834772 0.034095
43435 0.0135523 0.0126662 0.00862682 0.0348453
43440 0.0139395 0.0127482 0.00898134 0.0356691
43445 0.0142904 0.0128423 0.00937159 0.0365043
43450 0.0145958 0.0129305 0.0097516 0.0372779
43455 0.0148454 0.0129966 0.0100763 0.0379184
43460 0.015029 0.0130309 0.0103089 0.0383687
43465 0.015138 0.0130313 0.0104263 0.0385956
43470 0.0151673 0.0130024 0.0104223 0.0385921
43475 0.0151171 0.012952 0.0103062 0.0383752
43480 0.0149932 0.0128865 0.0100998 0.0379794
43485 0.014808 0.0128087 0.00983264 0.0374494
43490 0.0145799 0.0127166 0.00953686 0.0368333
43495 0.0143313 0.0126038 0.00924322 0.0361782
43500 0.0140861 0.0124619 0.00897808 0.0355261
43505 0.0138661 0.012283 0.00876166 0.0349108
43510 0.013687 0.012061 0.00860713 0.0343551
43515 0.0135544 0.0117932 0.00852025 0.0338679
43520 0.0134627 0.0114805 0.00849958 0.0334427
43525 0.0133949 0.0111279 0.00853714 0.0330599
