# LAMMPS data file

6000 atoms
4 atom types

0.0 26.789730072 xlo xhi
0.0 46.5447616577 ylo yhi
0.0 49.9407077933 zlo zhi
0.0 -9.1225643158 0.0 xy xz yz

Masses

1   6.941  # Li
2 118.71   # Sn
3  15.9994 # O
4  58.6934 # Ni

Atoms  # charge

221 1 0.0 16.567759972 42.620106947 5.003069784
222 1 0.0 14.743247082 42.620106947 14.991211492
223 1 0.0 12.918734328 42.620106947 24.979352455
224 1 0.0 11.094221573 42.620106947 34.967493418
225 1 0.0 9.269708275 42.620106947 44.955637359
226 1 0.0 21.925705667 5.384298107 5.003069784
227 1 0.0 20.101192777 5.384298107 14.991211492
228 1 0.0 18.276680023 5.384298107 24.979352455
229 1 0.0 16.452167268 5.384298107 34.967493418
230 1 0.0 14.62765397 5.384298107 44.955637359
231 1 0.0 21.925705667 14.69325023 5.003069784
232 1 0.0 20.101192777 14.69325023 14.991211492
233 1 0.0 18.276680023 14.69325023 24.979352455
234 1 0.0 16.452167268 14.69325023 34.967493418
235 1 0.0 14.62765397 14.69325023 44.955637359
236 1 0.0 21.925705667 24.002203394 5.003069784
237 1 0.0 20.101192777 24.002203394 14.991211492
238 1 0.0 18.276680023 24.002203394 24.979352455
239 1 0.0 16.452167268 24.002203394 34.967493418
240 1 0.0 14.62765397 24.002203394 44.955637359
241 1 0.0 21.925705667 33.311155171 5.003069784
242 1 0.0 20.101192777 33.311155171 14.991211492
243 1 0.0 18.276680023 33.311155171 24.979352455
244 1 0.0 16.452167268 33.311155171 34.967493418
245 1 0.0 14.62765397 33.311155171 44.955637359
246 1 0.0 21.925705667 42.620106947 5.003069784
247 1 0.0 20.101192777 42.620106947 14.991211492
248 1 0.0 18.276680023 42.620106947 24.979352455
249 1 0.0 16.452167268 42.620106947 34.967493418
250 1 0.0 14.62765397 42.620106947 44.955637359
251 1 0.0 4.085150912 8.579130599 0.008999316
252 1 0.0 2.260638024 8.579130599 9.99714101
253 1 0.0 0.43612527 8.579130599 19.985281973
254 1 0.0 -1.388387757 8.579130599 29.973424425
255 1 0.0 -3.212900511 8.579130599 39.961565388
256 1 0.0 4.085150912 17.888082375 0.008999316
257 1 0.0 2.260638024 17.888082375 9.99714101
258 1 0.0 0.43612527 17.888082375 19.985281973
259 1 0.0 -1.388387757 17.888082375 29.973424425
260 1 0.0 -3.212900511 17.888082375 39.961565388
261 1 0.0 4.085150912 27.197035539 0.008999316
262 1 0.0 2.260638024 27.197035539 9.99714101
263 1 0.0 0.43612527 27.197035539 19.985281973
264 1 0.0 -1.388387757 27.197035539 29.973424425
265 1 0.0 -3.212900511 27.197035539 39.961565388
266 1 0.0 4.085150912 36.505987316 0.008999316
267 1 0.0 2.260638024 36.505987316 9.99714101
268 1 0.0 0.43612527 36.505987316 19.985281973
269 1 0.0 -1.388387757 36.505987316 29.973424425
270 1 0.0 -3.212900511 36.505987316 39.961565388
271 1 0.0 4.085150912 45.814939093 0.008999316
272 1 0.0 2.260638024 45.814939093 9.99714101
273 1 0.0 0.43612527 45.814939093 19.985281973
274 1 0.0 -1.388387757 45.814939093 29.973424425
275 1 0.0 -3.212900511 45.814939093 39.961565388
276 1 0.0 9.443097006 8.579130599 0.008999316
277 1 0.0 7.618584118 8.579130599 9.99714101
278 1 0.0 5.794071364 8.579130599 19.985281973
279 1 0.0 3.969558338 8.579130599 29.973424425
280 1 0.0 2.145045583 8.579130599 39.961565388
281 1 0.0 9.443097006 17.888082375 0.008999316
282 1 0.0 7.618584118 17.888082375 9.99714101
283 1 0.0 5.794071364 17.888082375 19.985281973
284 1 0.0 3.969558338 17.888082375 29.973424425
285 1 0.0 2.145045583 17.888082375 39.961565388
286 1 0.0 9.443097006 27.197035539 0.008999316
287 1 0.0 7.618584118 27.197035539 9.99714101
288 1 0.0 5.794071364 27.197035539 19.985281973
289 1 0.0 3.969558338 27.197035539 29.973424425
290 1 0.0 2.145045583 27.197035539 39.961565388
291 1 0.0 9.443097006 36.505987316 0.008999316
292 1 0.0 7.618584118 36.505987316 9.99714101
293 1 0.0 5.794071364 36.505987316 19.985281973
294 1 0.0 3.969558338 36.505987316 29.973424425
295 1 0.0 2.145045583 36.505987316 39.961565388
296 1 0.0 9.443097006 45.814939093 0.008999316
297 1 0.0 7.618584118 45.814939093 9.99714101
298 1 0.0 5.794071364 45.814939093 19.985281973
