ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
7200
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.3969359240097674e+00 1.4533293592401117e+02 0.0000000000000000e+00
-1.9408916347967953e-01 2.1784489163479449e+01 0.0000000000000000e+00
4.8660990128253090e-02 2.5711339009871438e+01 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
727 2 5.16733 11.8302 4.24954 -27.8749 -1.30557 0.0984396 -2.19402 
2167 2 5.0955 11.7057 8.99594 -28.4839 0.780272 -0.293716 0.878431 
967 2 4.66051 15.2057 3.94545 -29.3653 1.56173 0.714485 1.40202 
2407 2 5.14358 15.1713 9.1906 -28.6904 -0.429718 -0.262542 -2.3488 
1207 2 4.97101 18.994 4.24994 -29.0869 -0.184266 1.3099 -0.560757 
2647 2 5.12093 19.0177 9.22096 -28.6094 1.52378 1.57755 -0.546212 
13 2 8.70866 0.639566 3.93831 -28.0481 1.70938 2.22243 -1.30114 
1453 2 8.77506 0.969879 9.10865 -28.2228 -3.65199 -4.57051 1.59817 
253 2 8.57333 4.45994 4.10115 -30.0847 1.09554 -1.50738 0.326421 
1693 2 8.95795 4.40376 8.98651 -28.0218 -0.179344 0.827145 1.20503 
493 2 8.97473 8.08286 3.90678 -29.0648 -1.30805 -1.56464 1.71175 
1933 2 8.69831 8.45974 9.30231 -28.7272 1.17221 0.111482 -0.573338 
733 2 8.63189 11.5555 4.13284 -28.5866 1.33305 1.8063 -2.59509 
2173 2 8.63182 11.8278 9.21116 -28.5721 0.880865 -0.854245 0.637755 
973 2 8.78595 15.499 4.04035 -28.7769 -3.09397 -1.61434 0.525695 
2413 2 8.90415 15.3848 9.42318 -29.1874 1.0768 -0.0756876 -1.56782 
1213 2 8.72786 18.9018 3.72955 -28.7345 0.476459 1.18354 0.00081904 
2653 2 8.51118 18.8153 9.23089 -28.6556 1.6099 2.27109 -0.535796 
10 1 5.36765 2.04134 2.06069 -7.12946 -2.23719 -1.12055 0.916252 
1443 1 1.04781 2.72349 5.67685 -7.39149 1.14146 3.12883 0.929248 
2883 1 1.59404 2.92029 10.9617 -8.26 -0.681963 0.844834 -0.290558 
3616 1 8.84604 12.2545 12.5718 -7.51859 0.562616 2.34996 -1.12404 
1683 1 0.509831 6.08288 4.69638 -8.43546 0.880753 1.15678 0.850813 
3123 1 0.940322 6.18395 10.1204 -8.54903 0.59035 0.0466531 -0.336734 
16 1 9.23592 2.63046 3.11548 -7.18152 -0.721036 -0.926891 -1.67441 
1923 1 1.46305 10.3514 5.61258 -8.26353 -0.346739 -1.18092 -0.264495 
3363 1 1.41911 10.3499 10.9798 -7.90407 -0.472253 0.614774 -1.95901 
1456 1 9.3876 2.48272 8.45973 -8.45181 -0.194748 2.58225 -3.48506 
