# Time-averaged data for fix f2
# TimeStep c_Comsd[1] c_Comsd[2] c_Comsd[3] c_Comsd[4]
42050 0.0134531 0.010957 0.0119245 0.0363346
42055 0.0133332 0.0109627 0.0116391 0.035935
42060 0.0132772 0.0109354 0.0113286 0.0355412
42065 0.0132846 0.0108577 0.0110391 0.0351814
42070 0.013341 0.010719 0.0108117 0.0348718
42075 0.0134205 0.0105178 0.0106729 0.0346112
42080 0.0134899 0.010265 0.0106304 0.0343854
42085 0.0135153 0.00998146 0.010675 0.0341719
42090 0.0134701 0.0096938 0.0107822 0.0339461
42095 0.0133388 0.00943241 0.0109169 0.0336881
42100 0.0131175 0.0092274 0.0110395 0.0333843
42105 0.0128137 0.00910514 0.0111131 0.0330319
42110 0.0124452 0.00908395 0.0111116 0.0326407
42115 0.0120384 0.00917066 0.011027 0.0322361
42120 0.0116259 0.00936208 0.0108709 0.0318588
42125 0.0112398 0.00964828 0.0106704 0.0315584
42130 0.0109068 0.0100134 0.0104639 0.0313841
42135 0.0106463 0.0104364 0.0102942 0.0313769
42140 0.0104687 0.0108954 0.0101998 0.031564
42145 0.010376 0.0113656 0.0102087 0.0319504
42150 0.0103624 0.0118187 0.0103333 0.0325144
42155 0.0104189 0.0122289 0.0105694 0.0332172
42160 0.0105355 0.0125729 0.0108968 0.0340052
42165 0.0107009 0.0128312 0.0112811 0.0348132
42170 0.0109045 0.0129922 0.0116784 0.035575
42175 0.011138 0.0130544 0.0120415 0.0362339
42180 0.0113951 0.0130294 0.0123261 0.0367505
42185 0.0116698 0.0129409 0.0124977 0.0371084
42190 0.0119556 0.0128196 0.0125351 0.0373103
42195 0.012243 0.0127045 0.0124372 0.0373846
42200 0.0125195 0.0126362 0.0122227 0.0373784
42205 0.0127701 0.0126517 0.0119282 0.0373501
42210 0.0129816 0.0127777 0.0116008 0.0373601
42215 0.0131426 0.013024 0.0112921 0.0374586
42220 0.0132438 0.0133811 0.0110523 0.0376773
42225 0.0132826 0.0138208 0.0109213 0.0380246
42230 0.0132617 0.0143007 0.0109228 0.0384852
42235 0.0131883 0.0147688 0.011059 0.0390161
42240 0.0130716 0.0151699 0.011308 0.0395495
42245 0.0129182 0.0154573 0.0116311 0.0400067
42250 0.012731 0.0156004 0.0119792 0.0403106
42255 0.0125087 0.01559 0.0123001 0.0403988
42260 0.0122455 0.0154392 0.0125459 0.0402306
42265 0.011935 0.0151806 0.0126786 0.0397942
42270 0.0115713 0.0148609 0.0126759 0.0391081
42275 0.0111514 0.0145319 0.0125304 0.0382138
42280 0.0106802 0.014242 0.0122494 0.0371716
42285 0.0101704 0.0140288 0.0118574 0.0360566
42290 0.00964154 0.0139153 0.0113939 0.0349507
42295 0.00912051 0.0139072 0.0109053 0.0339331
42300 0.00863719 0.0139916 0.0104385 0.0330673
42305 0.00822216 0.0141423 0.0100346 0.0323991
42310 0.00790086 0.0143292 0.0097269 0.0319569
42315 0.0076887 0.0145227 0.00953372 0.0317451
42320 0.00758902 0.0146959 0.00945461 0.0317395
42325 0.00759249 0.0148261 0.00947815 0.0318968
42330 0.0076802 0.0149022 0.00958143 0.0321638
42335 0.00782835 0.014922 0.00973087 0.0324813
42340 0.00801186 0.0148911 0.00988754 0.0327905
42345 0.00820861 0.0148178 0.0100166 0.033043
42350 0.00840332 0.0147089 0.0100942 0.0332064
42355 0.00858842 0.0145689 0.0101081 0.0332654
42360 0.00876218 0.0143986 0.0100529 0.0332137
42365 0.00892619 0.0142001 0.00993277 0.0330591
42370 0.00908273 0.0139776 0.00975954 0.0328199
42375 0.00922944 0.0137368 0.00955164 0.0325179
