ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
12960
ITEM: BOX BOUNDS xy xz yz pp pp pp
-2.1300586426096402e-01 2.1803405864260888e+01 0.0000000000000000e+00
-2.1487285383260257e-01 2.1805272853832129e+01 0.0000000000000000e+00
6.1471058551430247e-01 3.0850528941448414e+02 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
281 1 16.3208 4.43588 10.6849 -8.25523 -1.14695 -0.641285 1.25447 
101 1 15.1348 9.01052 5.14017 -8.15259 1.43591 2.1943 0.083194 
317 1 15.4739 7.37596 9.98973 -7.48987 0.202937 0.480132 0.222372 
137 1 14.2298 11.9889 6.13365 -8.80963 1.06983 0.817474 -0.895031 
353 1 16.2059 11.9301 11.0764 -7.69611 0.938673 -1.41718 -0.465012 
173 1 15.1216 16.4621 4.86073 -7.97568 -1.57251 1.19482 2.09672 
389 1 15.641 14.478 9.76816 -8.58184 -3.13949 0.556247 -0.853955 
209 1 14.0542 19.4782 5.74931 -8.29525 0.582285 -0.384826 0.202338 
425 1 16.1635 19.0463 10.9012 -8.15276 -0.617966 -0.432102 -1.62669 
35 1 18.2757 0.80488 5.83931 -8.13063 -0.377675 0.773846 -1.32802 
251 1 20.1389 0.792657 11.3593 -7.42763 -1.4309 -0.58136 -3.0327 
71 1 18.8057 5.38675 4.98482 -8.25989 1.30762 1.66762 -0.0805214 
287 1 19.2025 3.50693 9.86916 -7.09258 -1.77037 1.08703 -0.857319 
107 1 18.0375 8.47944 5.81203 -8.26449 -0.564498 -0.343143 -0.0698429 
323 1 19.5888 8.2526 10.5875 -7.68875 2.06841 -1.08272 2.59074 
143 1 18.9875 13.1866 4.85884 -8.37735 -1.59826 1.33302 0.769485 
359 1 19.2836 10.8679 9.81939 -7.93065 0.711095 1.03625 -0.504971 
179 1 18.0183 15.7938 5.80057 -8.39337 -0.1147 -1.65589 0.390693 
395 1 19.8468 15.5225 11.0788 -7.71857 0.960791 0.288484 -1.9965 
215 1 18.8939 20.063 4.96068 -7.87724 0.719662 -0.04937 1.76393 
431 1 18.9764 18.4809 10.4288 -7.82649 1.81885 -0.434671 -2.69283 
2 2 0.628474 2.86595 1.40931 -28.0129 -0.205021 1.67666 1.39603 
218 2 0.737964 2.83283 6.78876 -29.317 -1.73755 -1.35223 1.44508 
644 2 19.1381 20.6569 11.6804 -29.3049 0.985934 1.32153 0.367355 
38 2 0.55599 6.49372 1.79661 -28.8128 -2.48421 -1.78544 -3.28001 
254 2 0.601112 6.4749 6.7161 -29.267 -0.972049 -0.910658 0.939858 
470 2 0.884578 6.27153 11.7093 -28.2549 -1.82017 -0.182842 0.0498623 
74 2 0.423651 10.4056 1.6935 -29.2165 0.0512934 0.94502 -0.729689 
290 2 0.701647 10.188 6.5699 -29.8186 0.402065 0.599868 0.586815 
506 2 0.889392 9.80554 11.7014 -28.7803 0.039414 2.33919 0.788222 
110 2 0.574196 13.7411 1.56009 -29.7108 -2.58104 1.24835 -0.743217 
326 2 0.498445 13.8657 6.71813 -28.1928 0.266081 0.0114708 0.34107 
542 2 0.69348 13.4565 11.8493 -29.1941 0.767952 2.45415 -1.99912 
146 2 0.45833 17.5063 1.3882 -29.0914 -0.729068 -0.428234 0.402847 
362 2 0.667001 17.6362 6.49695 -29.35 -1.37218 -0.703362 2.28554 
189 1 6.23084 0.268372 0.949182 -7.9816 -1.08231 3.41039 -2.38795 
182 2 0.464255 20.9856 1.57224 -28.9826 0.473916 0.2899 -0.01911 
398 2 0.481764 20.9038 6.60415 -28.7887 0.486292 1.98699 0.898961 
498 1 15.328 5.17018 13.1477 -8.45475 2.21591 -1.33405 0.796483 
8 2 4.22211 2.77774 1.79381 -27.5339 -1.00179 0.798922 -1.975 
224 2 4.07265 2.71487 6.58892 -28.9488 -2.12563 0.666674 0.289569 
440 2 4.46947 2.87894 11.6487 -28.2304 -2.0006 -2.00719 -0.492207 
44 2 4.04596 6.64357 1.7374 -28.25 0.806094 1.10833 -2.23637 
260 2 4.20062 6.79457 6.549 -29.7025 0.34758 -0.937298 1.23531 
15 1 9.74145 4.03321 0.734305 -7.54052 -0.158397 0.175334 -1.70949 
80 2 4.00991 10.0905 1.67921 -29.0968 -0.149522 1.05734 0.615098 
296 2 4.34839 10.1205 6.62233 -30.0781 -2.3862 0.48484 1.02352 
632 2 11.761 20.7648 11.4762 -28.4296 -1.01545 0.459584 -0.873248 
116 2 4.25041 14.0077 1.64325 -29.2763 -1.24386 2.09926 -1.49993 
332 2 4.3866 13.9436 6.86417 -28.1071 -1.33304 -0.89668 -1.22111 
548 2 4.59392 13.4769 11.7055 -28.7299 -1.01883 1.14564 -0.164184 
152 2 4.17244 17.5885 1.35012 -28.4977 -0.392134 -1.12956 0.296047 
368 2 4.15598 17.115 6.61533 -27.5966 -1.71863 2.54969 0.0662205 
584 2 4.32902 17.1532 11.5506 -28.5526 0.178016 2.00834 2.18891 
188 2 4.62925 21.3152 1.6416 -29.0171 -1.00944 -0.132093 -0.392046 
404 2 4.14481 21.3645 6.40445 -29.1744 0.10363 1.46437 1.81213 
614 2 1.05142 21.0029 11.7512 -29.4433 -1.22901 -0.325301 -1.80645 
14 2 8.06541 3.01125 1.4554 -28.4667 0.202543 1.09381 1.29027 
230 2 7.66334 3.41278 6.64372 -28.2849 1.6595 -2.75184 -0.159149 
446 2 7.95292 2.44072 11.6545 -28.6315 -0.0924178 0.513455 -1.01292 
50 2 7.86156 6.66372 1.21893 -28.766 -0.698777 0.8607 2.0015 
266 2 7.72068 6.69389 6.65022 -29.1473 0.894922 0.500124 -0.771617 
482 2 8.0434 6.24925 11.9971 -28.8721 -1.9317 3.06207 -2.97549 
86 2 7.87873 10.5047 1.59425 -29.4045 -0.809709 -1.1175 0.710779 
302 2 8.2274 10.3579 6.65097 -29.1508 -2.70013 -0.187136 1.48876 
452 2 11.6837 2.51276 11.5927 -28.7022 -1.13322 0.818202 1.80667 
122 2 7.77749 13.786 1.85407 -28.3451 1.66435 1.19243 -2.71562 
338 2 7.75139 13.8477 6.79504 -28.6369 0.818278 0.443409 -1.61564 
