# Time-averaged data for fix f4
# TimeStep c_Crmsd[1] c_Crmsd[2] c_Crmsd[3] c_Crmsd[4]
42285 0.00573038 0.00694655 0.00577859 0.0184555
42290 0.00543133 0.00690538 0.00563355 0.0179703
42295 0.00515178 0.00679699 0.00551154 0.0174603
42300 0.00490507 0.00663011 0.00541328 0.0169485
42305 0.00470109 0.00641832 0.00533693 0.0164563
42310 0.00454549 0.00617855 0.00527817 0.0160022
42315 0.0044394 0.00592927 0.00523069 0.0155994
42320 0.00437984 0.00568839 0.00518724 0.0152555
42325 0.00436047 0.00547131 0.00514096 0.0149727
42330 0.00437271 0.00528924 0.00508669 0.0147486
42335 0.00440694 0.00514814 0.00502204 0.0145771
42340 0.00445359 0.00504844 0.00494778 0.0144498
42345 0.00450393 0.00498555 0.00486745 0.0143569
42350 0.00455068 0.00495111 0.00478651 0.0142883
42355 0.00458827 0.0049348 0.00471102 0.0142341
42360 0.0046129 0.00492622 0.00464655 0.0141857
42365 0.00462248 0.00491666 0.00459717 0.0141363
42370 0.0046164 0.00490048 0.00456505 0.0140819
42375 0.00459525 0.00487578 0.00455024 0.0140213
42380 0.00456047 0.00484445 0.00455093 0.0139559
42385 0.00451395 0.00481151 0.00456377 0.0138892
42390 0.00445789 0.00478388 0.00458459 0.0138264
42395 0.00439473 0.00476895 0.00460896 0.0137726
42400 0.00432715 0.00477304 0.0046326 0.0137328
42405 0.00425813 0.00480015 0.00465176 0.01371
42410 0.00419085 0.00485114 0.00466357 0.0137056
42415 0.00412862 0.00492352 0.00466616 0.0137183
42420 0.0040745 0.00501172 0.00465876 0.013745
42425 0.00403093 0.00510786 0.00464168 0.0137805
42430 0.00399936 0.00520277 0.00461616 0.0138183
42435 0.00398002 0.00528714 0.00458415 0.0138513
42440 0.00397197 0.00535273 0.00454817 0.0138729
42445 0.00397337 0.0053934 0.00451106 0.0138778
42450 0.00398185 0.00540583 0.00447586 0.0138635
42455 0.00399485 0.00538993 0.00444566 0.0138304
42460 0.00400983 0.00534864 0.00442342 0.0137819
42465 0.0040244 0.00528745 0.00441177 0.0137236
42470 0.00403633 0.00521354 0.00441281 0.0136627
42475 0.00404353 0.00513471 0.00442788 0.0136061
42480 0.00404411 0.00505843 0.00445733 0.0135599
42485 0.00403645 0.00499101 0.00450041 0.0135279
42490 0.00401924 0.00493716 0.00455504 0.0135114
42495 0.00399147 0.0048998 0.00461789 0.0135092
42500 0.0039526 0.00488019 0.00468452 0.0135173
42505 0.00390261 0.00487811 0.00474975 0.0135305
42510 0.00384228 0.00489212 0.00480824 0.0135426
42515 0.00377345 0.00491968 0.00485529 0.0135484
