ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
7200
ITEM: BOX BOUNDS xy xz yz pp pp pp
-3.3644984672871203e-01 1.4427244984672262e+02 0.0000000000000000e+00
-3.4938705187348873e-02 2.1625338705187247e+01 0.0000000000000000e+00
-1.5887599433890998e-01 2.5918875994338784e+01 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
1681 2 2.43782 4.54479 8.84491 -29.4693 -0.600097 -0.505102 0.767265 
481 2 2.35002 8.09002 3.78139 -29.4164 0.00307694 -0.124169 -0.784734 
1921 2 2.34421 8.15045 9.00447 -29.3768 0.678673 -0.985706 0.747565 
721 2 2.29723 11.8085 3.73113 -29.0405 0.0540397 -0.889023 -0.282029 
2161 2 2.30968 11.7632 8.9562 -29.4146 1.19401 -0.27111 0.193855 
961 2 2.25879 15.3467 3.85237 -29.4369 0.0296594 -0.180677 -1.14003 
2401 2 2.42375 15.314 8.98117 -29.5059 0.276896 0.509132 -1.15668 
1201 2 2.33513 18.9728 3.60459 -29.1724 -0.00580251 0.26442 0.675866 
2641 2 2.28047 19.0151 8.84467 -29.2548 0.715239 -1.16043 0.778304 
7 2 5.90324 0.947352 3.70527 -29.539 -0.494836 -0.973307 0.987768 
1447 2 6.03866 0.887153 8.97881 -29.0995 -1.61483 0.763844 -1.18251 
247 2 5.92821 4.47211 3.7721 -29.1802 0.683852 -0.776918 0.837691 
1687 2 6.08321 4.55865 8.96507 -29.5812 -1.64405 -0.841551 -0.213505 
487 2 5.95347 8.00147 3.66341 -29.1816 -0.509015 0.0553193 0.0514415 
1927 2 5.97614 8.16366 8.89137 -29.1539 -0.867324 0.18253 0.314285 
727 2 5.98442 11.6332 3.66966 -29.3638 -0.27379 0.398477 0.752803 
2167 2 5.96656 11.7099 8.84616 -29.4664 -0.164803 0.661846 0.43669 
967 2 6.00891 15.3727 3.65434 -29.3463 -1.03575 -0.5156 0.28964 
2407 2 6.09 15.338 9.02978 -29.7713 -1.14972 -0.310019 -0.44702 
1207 2 5.99759 18.9914 3.63824 -28.8571 -0.728939 -0.27393 0.88854 
2647 2 5.94087 18.9234 8.90366 -30.05 0.191229 -0.762223 0.358939 
13 2 9.47843 0.835901 3.76496 -28.9118 -0.0405335 1.07393 -0.338535 
1453 2 9.4832 0.857425 8.99411 -28.8225 1.38747 0.260263 -0.848589 
253 2 9.5498 4.45425 3.732 -29.8452 0.202868 0.0763883 0.228788 
1693 2 9.58642 4.54924 8.9357 -29.0425 0.609435 -0.752814 -0.566485 
493 2 9.56124 7.99981 3.61233 -29.3786 0.162847 0.230751 0.940326 
1933 2 9.54195 8.04659 8.92941 -29.2476 0.6762 0.589603 -0.362033 
733 2 9.61442 11.6633 3.62194 -29.1486 -0.721311 0.724954 0.810546 
2173 2 9.60968 11.7492 8.93129 -29.0829 -0.784626 0.109978 -0.190341 
973 2 9.4701 15.4006 3.78586 -29.2985 0.352284 -1.16783 -1.30175 
2413 2 9.65454 15.3594 8.87121 -29.3682 0.00805385 0.603111 0.232428 
1213 2 9.46764 18.8921 3.65658 -28.9424 0.495099 -0.594519 0.180396 
2653 2 9.67155 18.9059 8.91205 -29.4857 -0.367644 -0.880299 0.992425 
3 1 2.37833 2.67887 0.1184 -7.56079 0.427864 -0.298154 -0.35774 
1443 1 2.19526 2.75769 5.22071 -7.83191 0.302466 0.360348 0.708122 
2883 1 2.39997 2.48312 10.4128 -7.80474 -0.7918 0.0959643 1.47899 
243 1 2.29895 6.31155 0.112869 -7.79899 0.101077 -0.394875 -0.285708 
1683 1 2.43677 6.23398 5.37589 -7.81958 -0.340443 0.729844 -0.435851 
3123 1 2.34418 6.31482 10.4222 -7.58658 0.406487 -0.0950917 1.14223 
483 1 2.25385 9.9644 0.207447 -7.97497 0.951772 -0.266811 -0.817283 
1923 1 2.30805 9.82582 5.33674 -8.12107 -0.11647 0.240169 0.298558 
3363 1 2.35614 9.87606 10.6101 -7.77524 -0.518272 0.149562 -0.654987 
723 1 2.25485 13.4515 0.028237 -8.10441 -0.0681152 -0.325814 -0.275441 
2163 1 2.18556 13.6002 5.27772 -8.01789 0.150149 -0.68543 -0.0710707 
3603 1 2.4485 13.3912 10.5889 -7.73834 -1.67692 0.948443 -0.759019 
963 1 2.44179 17.1449 0.0122933 -7.98672 -0.830868 0.591169 0.247821 
2403 1 2.42514 17.127 5.20146 -8.03167 -0.423759 0.17254 0.616358 
3843 1 2.3253 17.0557 10.374 -7.74541 -0.47358 0.105759 0.599778 
1203 1 2.28452 20.7634 0.0320744 -7.99778 0.244759 -0.217763 -0.445275 
2643 1 2.29497 20.7896 5.25488 -7.83922 0.0228675 -0.141658 -0.392665 
4083 1 2.33974 20.7186 10.4302 -7.92791 0.310035 1.04012 -0.543774 
9 1 5.8814 2.63963 0.117257 -7.90842 -0.0361132 0.742984 -0.0129079 
1449 1 5.88802 2.73429 5.44844 -7.49554 0.655386 0.168985 -0.542145 
2889 1 6.00302 2.87729 10.5719 -7.70778 0.705399 -0.747807 0.130415 
249 1 5.93285 6.31917 0.0288697 -8.31084 1.85945 -0.154125 -0.116446 
1689 1 5.87907 6.33467 5.23258 -8.03011 0.438881 -0.264714 0.572288 
3129 1 5.95351 6.29617 10.4356 -8.06991 -0.320487 -0.117627 0.603017 
489 1 6.0071 9.80478 0.0840873 -7.98299 -1.03973 0.652463 0.0536946 
1929 1 5.94893 9.95152 5.22537 -7.74962 -0.119272 0.111833 0.286601 
3369 1 5.94518 9.92181 10.4415 -7.95734 0.763695 0.647802 0.0522111 
729 1 5.99369 13.3479 0.0956368 -7.90193 -0.527713 0.954969 0.535472 
2169 1 5.94457 13.4223 5.41718 -7.4228 1.01057 0.0930697 -0.536607 
3609 1 6.01453 13.5916 10.5878 -7.4251 0.361288 -0.0284998 -0.687932 
969 1 5.85654 17.0452 0.0411094 -7.67743 0.303163 -0.138788 0.644638 
2409 1 5.90448 17.0661 5.26981 -7.89956 -0.564273 0.20702 -0.298851 
3849 1 5.91812 17.1615 10.4831 -7.68413 0.645865 -0.495786 0.472995 
1209 1 6.04774 20.7416 0.0298283 -7.90825 -0.695182 -1.1225 0.685812 
2649 1 5.84358 20.8475 5.29287 -7.83884 1.20779 0.0129293 0.221073 
4089 1 6.04473 20.5911 10.3932 -8.05232 0.0182433 0.151863 1.39379 
15 1 9.61369 2.56656 0.169949 -7.92879 -1.3672 1.02423 -0.305242 
1455 1 9.5164 2.85585 5.38452 -7.68619 0.133414 -0.530906 -0.703414 
2895 1 9.54182 2.66807 10.5125 -8.13266 0.24759 0.369024 -0.614496 
255 1 9.56885 6.14826 0.0670004 -8.16185 -0.502291 0.327915 0.286112 
1695 1 9.52468 6.32295 5.37975 -7.47186 -0.0786144 -0.14999 -1.2207 
3135 1 9.59614 6.46253 10.4866 -8.21493 -0.257448 -0.355256 -0.184464 
